index,stack,particle,frame,label
1519,C12_s4,2097,351,mitotic
2407,E12_s10,1710,214,mitotic
1310,C12_s4,382,175,mitotic
782,B12_s1,1219,175,mitotic
2406,E12_s10,218,214,mitotic
2073,D12_s10,1949,390,mitotic
2625,E12_s10,2094,390,dead
2022,D12_s10,4350,331,dead
2586,E12_s10,3645,351,dead
1123,C12_s4,205,0,dead
2468,E12_s10,92,253,mitotic
298,A12_s2,874,214,mitotic
217,A12_s2,282,156,dead
926,B12_s1,516,292,mitotic
2832,F12_s1,2630,175,mitotic
3172,G12_s2,194,195,mitotic
2369,E12_s10,293,175,mitotic
2961,F12_s1,5288,370,mitotic
2448,E12_s10,2934,234,dead
2372,E12_s10,869,175,mitotic
3001,F12_s1,7200,429,mitotic
1535,C12_s4,284,351,dead
2445,E12_s10,325,234,mitotic
1488,C12_s4,283,312,mitotic
494,A12_s2,4216,390,dead
454,A12_s2,108,351,mitotic
3106,G12_s2,649,117,mitotic
294,A12_s2,224,214,mitotic
384,A12_s2,423,273,dead
2546,E12_s10,380,312,dead
2176,E12_s10,83,39,mitotic
1865,D12_s10,2726,214,mitotic
2331,E12_s10,378,156,mitotic
460,A12_s2,4133,351,dead
606,B12_s1,471,58,dead
2786,F12_s1,142,117,mitotic
286,A12_s2,1738,214,mitotic
580,B12_s1,579,19,mitotic
2671,E12_s10,5693,429,dead
3004,F12_s1,7400,429,dead
2002,D12_s10,972,312,dead
862,B12_s1,2313,234,mitotic
1548,C12_s4,5164,370,dead
893,B12_s1,1851,273,dead
2935,F12_s1,5181,351,mitotic
764,B12_s1,445,156,mitotic
167,A12_s2,24,117,mitotic
189,A12_s2,226,136,mitotic
2540,E12_s10,24,312,mitotic
1317,C12_s4,1657,195,mitotic
2055,D12_s10,4708,370,mitotic
156,A12_s2,1597,117,mitotic
1715,D12_s10,1416,78,dead
3075,G12_s2,607,78,mitotic
235,A12_s2,591,175,mitotic
2726,F12_s1,906,39,mitotic
2106,D12_s10,2307,429,dead
335,A12_s2,195,253,mitotic
1347,C12_s4,320,214,mitotic
2950,F12_s1,5744,351,mitotic
2203,E12_s10,471,58,dead
2847,F12_s1,3600,195,mitotic
732,B12_s1,1991,136,dead
1919,D12_s10,139,253,unclear
2861,F12_s1,1411,214,mitotic
1530,C12_s4,412,351,mitotic
1562,C12_s4,4006,370,unclear
2460,E12_s10,399,253,mitotic
1222,C12_s4,349,117,mitotic
2909,F12_s1,188,292,mitotic
287,A12_s2,979,214,mitotic
800,B12_s1,28,195,mitotic
1187,C12_s4,275,78,mitotic
1596,C12_s4,47,409,dead
483,A12_s2,204,370,mitotic
793,B12_s1,1480,195,mitotic
222,A12_s2,205,156,mitotic
2288,E12_s10,2048,117,mitotic
2180,E12_s10,878,39,mitotic
2713,F12_s1,546,19,mitotic
933,B12_s1,615,292,mitotic
1073,B12_s1,6072,409,dead
2992,F12_s1,7305,409,unclear
996,B12_s1,4872,351,dead
875,B12_s1,3156,253,dead
2303,E12_s10,53,136,mitotic
695,B12_s1,425,117,mitotic
110,A12_s2,1136,78,dead
670,B12_s1,332,97,mitotic
1396,C12_s4,56,253,mitotic
621,B12_s1,307,58,mitotic
2824,F12_s1,3049,156,mitotic
1098,B12_s1,6541,449,dead
1748,D12_s10,1767,117,dead
2860,F12_s1,2,214,mitotic
1138,C12_s4,302,39,unclear
1324,C12_s4,1,195,mitotic
343,A12_s2,2809,253,dead
1931,D12_s10,258,253,mitotic
97,A12_s2,1366,78,mitotic
2943,F12_s1,4604,351,mitotic
3039,G12_s2,13,39,dead
3121,G12_s2,688,136,mitotic
3037,G12_s2,138,19,mitotic
2806,F12_s1,250,136,mitotic
2841,F12_s1,3889,195,dead
86,A12_s2,171,58,dead
709,B12_s1,435,117,mitotic
3195,G12_s2,2350,234,unclear
148,A12_s2,112,117,dead
3069,G12_s2,1166,78,dead
1405,C12_s4,51,253,mitotic
1411,C12_s4,331,253,mitotic
1136,C12_s4,785,19,dead
2507,E12_s10,388,292,mitotic
898,B12_s1,3729,273,dead
2300,E12_s10,261,136,mitotic
3027,F12_s1,3280,449,mitotic
18,A12_s2,478,0,mitotic
508,A12_s2,321,409,dead
2278,E12_s10,0,117,dead
2803,F12_s1,655,136,mitotic
668,B12_s1,716,97,mitotic
737,B12_s1,113,136,mitotic
231,A12_s2,357,175,mitotic
664,B12_s1,1293,97,mitotic
255,A12_s2,327,195,mitotic
1493,C12_s4,307,312,mitotic
2560,E12_s10,220,331,mitotic
218,A12_s2,2116,156,mitotic
1147,C12_s4,54,58,mitotic
1184,C12_s4,137,78,dead
716,B12_s1,36,136,mitotic
229,A12_s2,1329,175,mitotic
125,A12_s2,1183,97,mitotic
3111,G12_s2,1528,117,dead
1620,C12_s4,370,429,mitotic
2855,F12_s1,2278,214,mitotic
3135,G12_s2,63,156,mitotic
1430,C12_s4,3663,273,mitotic
526,A12_s2,4913,429,dead
3205,G12_s2,2117,253,mitotic
2840,F12_s1,1150,175,mitotic
3029,F12_s1,4889,449,mitotic
330,A12_s2,1098,234,dead
1947,D12_s10,193,273,mitotic
563,B12_s1,213,0,dead
910,B12_s1,353,273,mitotic
1014,B12_s1,3170,370,mitotic
1884,D12_s10,3630,234,dead
814,B12_s1,379,195,mitotic
2020,D12_s10,222,331,mitotic
883,B12_s1,466,253,dead
585,B12_s1,1118,39,dead
54,A12_s2,104,39,dead
2060,D12_s10,949,370,unclear
1536,C12_s4,1063,351,mitotic
914,B12_s1,77,273,mitotic
2634,E12_s10,2309,409,mitotic
457,A12_s2,4145,351,dead
2070,D12_s10,24,390,mitotic
2538,E12_s10,601,312,dead
725,B12_s1,2121,136,mitotic
2905,F12_s1,4638,292,mitotic
1037,B12_s1,409,390,dead
2737,F12_s1,1135,58,mitotic
1934,D12_s10,309,253,unclear
1869,D12_s10,142,214,mitotic
2175,E12_s10,1081,39,dead
850,B12_s1,1251,234,mitotic
833,B12_s1,1080,214,mitotic
819,B12_s1,277,214,mitotic
1827,D12_s10,357,175,mitotic
1849,D12_s10,999,195,mitotic
2155,E12_s10,216,19,dead
1626,C12_s4,961,429,dead
3025,F12_s1,3984,449,mitotic
766,B12_s1,313,156,mitotic
1019,B12_s1,4101,370,dead
1956,D12_s10,274,273,mitotic
2071,D12_s10,5104,390,mitotic
2092,D12_s10,224,409,mitotic
1170,C12_s4,1646,78,dead
1532,C12_s4,273,351,mitotic
2053,D12_s10,202,370,mitotic
3180,G12_s2,404,214,mitotic
1753,D12_s10,1847,117,unclear
1583,C12_s4,1885,390,mitotic
575,B12_s1,497,19,mitotic
8,A12_s2,208,0,dead
1168,C12_s4,1346,58,dead
1113,B12_s1,5499,449,dead
1070,B12_s1,4607,409,dead
2539,E12_s10,1536,312,mitotic
2314,E12_s10,528,136,mitotic
1580,C12_s4,379,390,mitotic
496,A12_s2,45,390,dead
2259,E12_s10,246,97,mitotic
439,A12_s2,1161,331,mitotic
2980,F12_s1,7375,409,mitotic
2064,D12_s10,3487,370,mitotic
2111,D12_s10,413,429,mitotic
744,B12_s1,403,156,mitotic
1886,D12_s10,3148,234,unclear
884,B12_s1,3187,253,dead
2778,F12_s1,474,117,mitotic
2632,E12_s10,4851,390,dead
1202,C12_s4,970,97,dead
1071,B12_s1,2680,409,dead
3095,G12_s2,724,97,mitotic
2364,E12_s10,393,175,mitotic
2028,D12_s10,2188,331,unclear
2927,F12_s1,1569,331,mitotic
51,A12_s2,149,39,dead
453,A12_s2,3048,351,dead
2600,E12_s10,3671,370,dead
2942,F12_s1,3014,351,mitotic
162,A12_s2,705,117,mitotic
1997,D12_s10,2420,312,mitotic
1745,D12_s10,243,117,mitotic
977,B12_s1,1479,331,dead
21,A12_s2,123,0,dead
183,A12_s2,1814,136,mitotic
1399,C12_s4,978,253,mitotic
311,A12_s2,436,234,dead
682,B12_s1,314,117,mitotic
2016,D12_s10,286,331,mitotic
1786,D12_s10,2556,156,unclear
2147,E12_s10,172,0,dead
1008,B12_s1,4086,370,dead
1478,C12_s4,4087,312,dead
2127,D12_s10,5830,449,dead
2890,F12_s1,587,273,mitotic
2576,E12_s10,350,351,dead
1251,C12_s4,30,136,mitotic
2416,E12_s10,2492,214,mitotic
158,A12_s2,264,117,mitotic
17,A12_s2,253,0,mitotic
405,A12_s2,3020,292,dead
1570,C12_s4,415,390,mitotic
466,A12_s2,895,370,mitotic
3080,G12_s2,55,78,mitotic
2452,E12_s10,3091,253,dead
188,A12_s2,1256,136,mitotic
829,B12_s1,5,214,mitotic
2692,E12_s10,5893,449,dead
2306,E12_s10,1593,136,dead
2725,F12_s1,859,39,mitotic
1022,B12_s1,5143,370,dead
1157,C12_s4,210,58,dead
1775,D12_s10,381,136,mitotic
2206,E12_s10,193,58,mitotic
2132,D12_s10,5973,449,dead
1142,C12_s4,413,39,dead
3032,F12_s1,45,449,mitotic
3020,F12_s1,5182,449,mitotic
1516,C12_s4,4320,331,unclear
2262,E12_s10,128,97,dead
1659,D12_s10,101,0,dead
1774,D12_s10,201,136,mitotic
2717,F12_s1,134,39,mitotic
911,B12_s1,1658,273,mitotic
2267,E12_s10,438,97,mitotic
1367,C12_s4,306,214,mitotic
3251,G12_s2,2867,331,mitotic
1350,C12_s4,1770,214,mitotic
394,A12_s2,784,292,mitotic
1949,D12_s10,3599,273,dead
2696,E12_s10,5911,449,dead
2556,E12_s10,3745,331,dead
2392,E12_s10,918,195,mitotic
2001,D12_s10,2650,312,mitotic
2376,E12_s10,821,175,mitotic
2689,E12_s10,2989,449,unclear
2223,E12_s10,96,78,mitotic
984,B12_s1,263,331,dead
2347,E12_s10,276,156,dead
14,A12_s2,84,0,dead
2748,F12_s1,523,78,mitotic
40,A12_s2,543,19,dead
213,A12_s2,1720,156,mitotic
400,A12_s2,3475,292,dead
2544,E12_s10,3771,312,dead
2417,E12_s10,1335,214,dead
2159,E12_s10,290,19,mitotic
2166,E12_s10,368,19,mitotic
1003,B12_s1,4573,351,dead
905,B12_s1,2250,273,mitotic
3210,G12_s2,2286,253,mitotic
3272,G12_s2,3118,370,mitotic
2734,F12_s1,49,58,mitotic
3285,G12_s2,2771,409,mitotic
124,A12_s2,28,97,mitotic
247,A12_s2,1906,175,dead
2875,F12_s1,4341,234,mitotic
2684,E12_s10,4182,449,mitotic
344,A12_s2,304,253,mitotic
1714,D12_s10,290,78,mitotic
2743,F12_s1,332,58,mitotic
2258,E12_s10,324,97,mitotic
2161,E12_s10,323,19,mitotic
2316,E12_s10,1421,136,mitotic
2732,F12_s1,185,58,mitotic
465,A12_s2,3727,370,dead
2370,E12_s10,1684,175,mitotic
1121,C12_s4,174,0,dead
513,A12_s2,471,429,dead
2198,E12_s10,367,58,mitotic
443,A12_s2,709,331,mitotic
1964,D12_s10,50,292,dead
593,B12_s1,111,39,unclear
1465,C12_s4,267,292,mitotic
3269,G12_s2,3119,370,mitotic
1586,C12_s4,253,409,dead
458,A12_s2,228,351,mitotic
3031,F12_s1,6684,449,mitotic
145,A12_s2,44,97,mitotic
1639,C12_s4,11,449,dead
2569,E12_s10,3493,331,dead
336,A12_s2,1715,253,mitotic
2817,F12_s1,1903,156,dead
179,A12_s2,1316,136,mitotic
104,A12_s2,1456,78,dead
986,B12_s1,23,331,dead
582,B12_s1,187,19,dead
2511,E12_s10,394,292,dead
869,B12_s1,1890,234,mitotic
194,A12_s2,74,136,mitotic
1467,C12_s4,99,292,dead
262,A12_s2,1113,195,mitotic
1105,B12_s1,6725,449,dead
1702,D12_s10,379,58,dead
1308,C12_s4,393,175,mitotic
19,A12_s2,174,0,dead
552,B12_s1,167,0,dead
1722,D12_s10,1761,97,dead
1392,C12_s4,6,234,mitotic
2797,F12_s1,148,117,mitotic
130,A12_s2,1220,97,mitotic
102,A12_s2,179,78,dead
118,A12_s2,1441,78,mitotic
2164,E12_s10,346,19,mitotic
2481,E12_s10,779,273,unclear
994,B12_s1,241,351,mitotic
2619,E12_s10,4848,390,dead
2162,E12_s10,342,19,mitotic
969,B12_s1,339,331,mitotic
309,A12_s2,386,234,mitotic
58,A12_s2,8,39,mitotic
3193,G12_s2,2249,234,mitotic
3176,G12_s2,1470,214,mitotic
1875,D12_s10,397,214,mitotic
1160,C12_s4,301,58,mitotic
2738,F12_s1,347,58,dead
768,B12_s1,477,175,mitotic
482,A12_s2,1892,370,dead
1701,D12_s10,359,58,dead
133,A12_s2,109,97,dead
775,B12_s1,1990,175,dead
1907,D12_s10,2,234,mitotic
1145,C12_s4,1122,39,dead
173,A12_s2,1796,136,mitotic
1491,C12_s4,259,312,mitotic
197,A12_s2,320,136,mitotic
1866,D12_s10,388,214,dead
574,B12_s1,447,19,mitotic
2352,E12_s10,1760,156,mitotic
1370,C12_s4,260,234,mitotic
939,B12_s1,354,292,mitotic
2120,D12_s10,26,449,mitotic
1356,C12_s4,15,214,mitotic
1693,D12_s10,82,58,dead
1270,C12_s4,473,156,mitotic
2187,E12_s10,210,58,mitotic
2565,E12_s10,13,331,mitotic
3063,G12_s2,609,78,dead
527,A12_s2,4450,429,dead
200,A12_s2,214,156,mitotic
2321,E12_s10,370,136,mitotic
1235,C12_s4,158,117,mitotic
1208,C12_s4,92,97,mitotic
258,A12_s2,711,195,mitotic
3196,G12_s2,2282,234,mitotic
317,A12_s2,340,234,mitotic
2451,E12_s10,2657,234,dead
1648,C12_s4,481,449,mitotic
1292,C12_s4,314,156,mitotic
20,A12_s2,151,0,dead
1800,D12_s10,738,156,mitotic
2716,F12_s1,51,39,dead
1417,C12_s4,5,253,mitotic
751,B12_s1,442,156,mitotic
2983,F12_s1,5279,409,mitotic
3017,F12_s1,6758,449,mitotic
1523,C12_s4,1636,351,mitotic
2305,E12_s10,1097,136,mitotic
1737,D12_s10,23,97,unclear
354,A12_s2,3008,253,dead
