index,stack,particle,frame,label
574,A03_s1,3280,112,dead
1885,A04_s1,2343,136,mitotic
6920,E03_s1,267,114,mitotic
6801,E03_s1,57,141,mitotic
5785,C04_s1,1058,10,dead
2736,B03_s1,1931,33,mitotic
3419,B03_s1,5764,104,dead
2069,A04_s1,2882,136,dead
7973,E03_s4,5688,74,mitotic
4407,C03_s2,1352,18,dead
1161,A04_s1,290,101,mitotic
3918,B04_s1,2478,120,dead
3114,B03_s1,4177,131,mitotic
7282,E03_s1,3693,125,mitotic
6022,C04_s1,2247,67,mitotic
1058,A04_s1,167,21,mitotic
6153,C04_s1,3025,84,mitotic
1312,A04_s1,547,17,mitotic
8230,E03_s4,7449,123,mitotic
3243,B03_s1,4741,118,mitotic
8132,E03_s4,6732,139,dead
3619,B03_s1,7166,136,dead
5497,C03_s2,5979,125,dead
4118,C03_s2,227,64,dead
2910,B03_s1,3022,49,mitotic
8411,E03_s4,8737,129,dead
1757,A04_s1,1872,48,dead
4499,C03_s2,1819,77,mitotic
3212,B03_s1,4597,121,mitotic
5387,C03_s2,5229,106,dead
6297,C04_s1,4217,110,mitotic
3165,B03_s1,4408,85,mitotic
571,A03_s1,3185,119,dead
8440,E03_s4,9022,125,dead
4641,C03_s2,2408,83,mitotic
292,A03_s1,1064,36,dead
5239,C03_s2,4598,125,mitotic
4000,C03_s2,49,129,mitotic
5470,C03_s2,5742,126,mitotic
4710,C03_s2,2705,105,mitotic
6051,C04_s1,2371,133,mitotic
8166,E03_s4,6912,138,mitotic
5748,C04_s1,922,111,mitotic
3752,B04_s1,409,7,dead
1435,A04_s1,889,8,dead
8073,E03_s4,6332,104,dead
1444,A04_s1,922,98,mitotic
2871,B03_s1,2751,128,dead
4186,C03_s2,429,9,mitotic
3357,B03_s1,5370,91,mitotic
2759,B03_s1,2110,50,mitotic
7277,E03_s1,3585,142,mitotic
2525,B03_s1,957,60,mitotic
39,A03_s1,170,14,dead
4204,C03_s2,507,0,dead
169,A03_s1,581,84,dead
3748,B04_s1,382,3,dead
7858,E03_s4,4784,77,dead
7584,E03_s4,2264,69,dead
5984,C04_s1,2068,46,mitotic
3645,B03_s1,7475,134,mitotic
8085,E03_s4,6454,113,mitotic
2446,B03_s1,590,93,mitotic
318,A03_s1,1239,57,dead
7471,E03_s4,1408,49,dead
3146,B03_s1,4340,137,dead
55,A03_s1,231,23,dead
174,A03_s1,593,4,dead
3217,B03_s1,4619,70,mitotic
3316,B03_s1,5132,93,dead
2196,A04_s1,3550,118,mitotic
2656,B03_s1,1518,111,mitotic
3736,B04_s1,331,14,mitotic
98,A03_s1,368,4,dead
493,A03_s1,2365,32,dead
6294,C04_s1,4205,59,dead
8352,E03_s4,8311,120,mitotic
8464,E03_s4,9229,128,dead
7244,E03_s1,2739,140,mitotic
1206,A04_s1,352,5,dead
5965,C04_s1,1891,104,mitotic
6993,E03_s1,487,13,mitotic
3084,B03_s1,4058,90,mitotic
6184,C04_s1,3205,48,mitotic
6016,C04_s1,2230,84,mitotic
3086,B03_s1,4060,128,mitotic
3508,B03_s1,6315,109,dead
3891,B04_s1,1981,122,mitotic
5694,C04_s1,554,121,dead
5307,C03_s2,4840,97,dead
3186,B03_s1,4502,124,mitotic
5697,C04_s1,564,0,dead
4288,C03_s2,799,140,mitotic
7942,E03_s4,5496,142,mitotic
8090,E03_s4,6480,89,mitotic
624,A03_s1,3740,79,dead
2478,B03_s1,745,81,dead
7147,E03_s1,1608,81,mitotic
1303,A04_s1,536,74,mitotic
6127,C04_s1,2793,37,mitotic
3412,B03_s1,5730,98,dead
4889,C03_s2,3286,132,mitotic
3741,B04_s1,345,70,dead
6137,C04_s1,2864,114,dead
2287,B03_s1,62,21,dead
1250,A04_s1,429,111,dead
3961,B04_s1,3079,140,mitotic
3140,B03_s1,4324,128,mitotic
115,A03_s1,420,5,dead
1850,A04_s1,2216,88,mitotic
3626,B03_s1,7261,144,unclear
6416,C04_s1,5106,121,mitotic
2947,B03_s1,3197,106,dead
8294,E03_s4,7845,104,dead
5585,C04_s1,149,134,mitotic
6154,C04_s1,3029,37,dead
3667,B04_s1,11,28,dead
3264,B03_s1,4845,79,mitotic
7455,E03_s4,1265,122,mitotic
5153,C03_s2,4263,128,mitotic
5688,C04_s1,515,45,mitotic
4502,C03_s2,1842,57,mitotic
5194,C03_s2,4400,90,mitotic
789,A03_s1,5495,121,dead
3331,B03_s1,5206,99,mitotic
7330,E03_s4,155,0,dead
3037,B03_s1,3750,72,dead
261,A03_s1,863,50,dead
6436,C04_s1,5241,137,mitotic
4639,C03_s2,2397,95,mitotic
2327,B03_s1,168,19,mitotic
7556,E03_s4,1987,36,mitotic
5602,C04_s1,186,54,dead
5447,C03_s2,5629,117,dead
70,A03_s1,292,39,dead
196,A03_s1,624,33,dead
240,A03_s1,766,8,dead
301,A03_s1,1109,58,dead
6284,C04_s1,4106,100,mitotic
1580,A04_s1,1314,104,mitotic
1326,A04_s1,589,68,mitotic
7441,E03_s4,1143,19,mitotic
5164,C03_s2,4310,89,mitotic
3297,B03_s1,5045,135,dead
4973,C03_s2,3626,135,mitotic
2210,A04_s1,3689,124,mitotic
4411,C03_s2,1372,17,mitotic
7301,E03_s4,30,11,mitotic
4215,C03_s2,536,0,mitotic
7770,E03_s4,4059,56,dead
7360,E03_s4,361,14,dead
502,A03_s1,2408,37,unclear
3439,B03_s1,5876,118,mitotic
7872,E03_s4,4923,75,unclear
3237,B03_s1,4718,76,mitotic
7878,E03_s4,5014,71,dead
6025,C04_s1,2264,132,dead
8358,E03_s4,8331,132,mitotic
4745,C03_s2,2794,78,mitotic
888,A03_s1,6933,140,dead
8320,E03_s4,8088,113,mitotic
4995,C03_s2,3703,109,mitotic
4162,C03_s2,364,118,mitotic
3407,B03_s1,5702,112,mitotic
4304,C03_s2,874,48,mitotic
6247,C04_s1,3802,54,dead
5513,C03_s2,6148,131,mitotic
6437,C04_s1,5252,98,mitotic
4944,C03_s2,3487,131,mitotic
663,A03_s1,4123,81,dead
7081,E03_s1,951,41,mitotic
5556,C04_s1,44,133,mitotic
7001,E03_s1,529,20,dead
7658,E03_s4,2890,33,mitotic
4986,C03_s2,3673,107,dead
434,A03_s1,1997,45,dead
4939,C03_s2,3464,88,mitotic
5055,C03_s2,3932,109,mitotic
578,A03_s1,3297,57,dead
3027,B03_s1,3695,58,mitotic
320,A03_s1,1261,19,dead
3363,B03_s1,5402,102,mitotic
1104,A04_s1,224,101,mitotic
8382,E03_s4,8536,132,mitotic
6529,C04_s1,5877,94,dead
5509,C03_s2,6064,138,mitotic
558,A03_s1,2951,79,dead
319,A03_s1,1249,12,dead
2072,A04_s1,2901,107,mitotic
6054,C04_s1,2385,26,mitotic
4469,C03_s2,1688,39,mitotic
2073,A04_s1,2903,91,dead
2868,B03_s1,2737,39,dead
3285,B03_s1,4957,85,mitotic
1422,A04_s1,844,64,mitotic
7735,E03_s4,3671,80,dead
8458,E03_s4,9175,134,dead
252,A03_s1,841,3,dead
7856,E03_s4,4782,86,dead
309,A03_s1,1169,13,dead
6385,C04_s1,4851,112,mitotic
6500,C04_s1,5642,132,mitotic
7955,E03_s4,5543,136,mitotic
1022,A04_s1,124,15,mitotic
6324,C04_s1,4391,83,mitotic
8258,E03_s4,7606,142,mitotic
3481,B03_s1,6113,104,dead
4053,C03_s2,115,6,dead
1792,A04_s1,2001,84,mitotic
5989,C04_s1,2113,49,dead
5060,C03_s2,3947,142,mitotic
2177,A04_s1,3431,120,dead
5589,C04_s1,158,18,dead
3049,B03_s1,3816,109,mitotic
1824,A04_s1,2101,125,mitotic
8155,E03_s4,6836,126,dead
5850,C04_s1,1374,13,unclear
5540,C04_s1,5,20,mitotic
450,A03_s1,2097,41,dead
5669,C04_s1,412,0,mitotic
8467,E03_s4,9261,129,interphase
3816,B04_s1,828,17,dead
4244,C03_s2,652,128,mitotic
4872,C03_s2,3231,122,mitotic
4963,C03_s2,3568,74,mitotic
8279,E03_s4,7727,138,dead
2990,B03_s1,3421,99,mitotic
3838,B04_s1,1139,133,mitotic
130,A03_s1,463,97,unclear
2901,B03_s1,2992,39,dead
74,A03_s1,305,21,dead
5733,C04_s1,819,25,mitotic
6757,E03_s1,16,83,mitotic
